,Germany,Germany,Germany,Austria,Austria,Austria,Switzerland,Switzerland,Switzerland,Italy,Italy,Italy,Spain,Spain,Spain,France,France,France
,total_count,count,percentage,total_count,count,percentage,total_count,count,percentage,total_count,count,percentage,total_count,count,percentage,total_count,count,percentage
date,,,,,,,,,,,,,,,,,,
2018-05-01,515767,220,0.0426549197602793,56445.0,1.0,0.0017716361059438,69680.0,15.0,0.0215269804822043,143644.0,72.0,0.0501239174626159,373648,239,0.0639639446752023,203675,293,0.1438566343439302
2018-06-01,560695,402,0.0716967335182229,58594.0,27.0,0.0460798033928388,71611.0,22.0,0.0307215371940065,147793.0,133.0,0.0899907302781593,401442,254,0.0632719047832563,221359,181,0.0817676263445353
2018-07-01,538101,309,0.0574241638651479,57685.0,4.0,0.0069342116668111,69150.0,13.0,0.0187997107736804,149481.0,183.0,0.1224235856061974,384908,170,0.0441663982042462,205847,197,0.0957021477116499
2018-08-01,523793,462,0.0882027823968628,56268.0,16.0,0.0284353451340015,82111.0,16.0,0.0194858179781028,134186.0,327.0,0.2436915922674496,357360,318,0.0889858965748824,179882,136,0.0756051189112862
2018-09-01,219295,252,0.1149137007227706,27151.0,5.0,0.0184155279731869,39245.0,18.0,0.0458657153777551,71531.0,108.0,0.1509834896758048,190408,381,0.2000966345951851,102479,31,0.030250100020492
2018-10-01,389795,338,0.0867122461806847,40777.0,1.0,0.0024523628516075,58857.0,12.0,0.0203883990009684,118067.0,87.0,0.0736869743450752,332754,270,0.0811410230981445,162505,112,0.0689209562782683
2018-11-01,162950,71,0.0435716477447069,17651.0,0.0,0.0,31187.0,2.0,0.0064129284637829,42838.0,29.0,0.0676969046173957,144537,57,0.0394362689138421,75641,12,0.0158644121574278
2018-12-01,410782,172,0.0418713575570497,42808.0,14.0,0.0327041674453373,58454.0,7.0,0.0119752283847127,124900.0,79.0,0.0632506004803843,356579,109,0.0305682611707363,173843,42,0.0241597303313909
2019-01-01,436577,196,0.0448947150216342,45361.0,1.0,0.0022045369370163,59177.0,7.0,0.0118289200196022,125440.0,64.0,0.0510204081632653,365763,67,0.0183178725021393,171841,36,0.0209495987569904
2019-02-01,426220,222,0.0520857772981089,45151.0,5.0,0.0110739518504573,61811.0,3.0,0.004853505039556,126498.0,71.0,0.0561273696026814,389766,69,0.0177029294499776,159492,44,0.0275875906001554
2019-03-01,499441,271,0.0542606634217054,53740.0,13.0,0.0241905470785262,74146.0,12.0,0.0161842850592075,140483.0,85.0,0.0605055415957802,441862,136,0.0307788404524489,186029,50,0.0268775298474968
2019-04-01,668603,252,0.0376905278618253,51913.0,4.0,0.0077051990830813,83061.0,16.0,0.0192629513249298,129533.0,82.0,0.0633043317146981,572079,154,0.0269193590395732,171495,138,0.080468818332896
2019-05-01,517903,253,0.0488508465871022,56061.0,2.0,0.00356754249835,73987.0,3.0,0.0040547663778771,156911.0,127.0,0.0809376015703169,426971,139,0.0325549041972405,188737,96,0.0508644303978552
2019-06-01,486423,277,0.0569463203836989,51554.0,2.0,0.0038794273965162,66552.0,8.0,0.0120206755619665,162696.0,188.0,0.1155529330776417,391175,198,0.0506167316418482,182615,108,0.0591408153766119
2019-07-01,526923,325,0.0616788411209987,52758.0,7.0,0.0132681299518556,66642.0,23.0,0.0345127697247981,162576.0,293.0,0.1802234032083456,389328,416,0.1068507787777914,171917,225,0.1308771093027449
2019-08-01,522716,355,0.0679145080693914,49979.0,10.0,0.0200084035294823,65894.0,23.0,0.0349045436610313,145703.0,183.0,0.1255979629794856,348399,210,0.0602757183574005,150667,93,0.0617255271559133
2019-09-01,520259,314,0.0603545541739787,53001.0,1.0,0.0018867568536442,67733.0,15.0,0.0221457782764678,162953.0,267.0,0.163850926340724,401150,227,0.0565873114794964,184331,94,0.0509952205543289
2019-10-01,510586,316,0.061889671867227,53792.0,5.0,0.0092950624628197,68297.0,16.0,0.0234270905017789,172568.0,307.0,0.1779008854480552,433521,398,0.091806394615255,189779,126,0.0663930150332755
2019-11-01,492656,225,0.0456708128998733,48895.0,2.0,0.0040903977911851,65944.0,14.0,0.0212301346597112,169048.0,415.0,0.2454924045241588,420787,169,0.040162837730253,174972,59,0.0337196808632238
2019-12-01,479392,191,0.0398421333689339,47307.0,3.0,0.0063415562178958,61131.0,0.0,0.0,154576.0,259.0,0.1675551185177518,376767,93,0.0246836904505967,169835,40,0.0235522713221656
2020-01-01,524398,264,0.0503434414318895,52960.0,4.0,0.0075528700906344,66055.0,25.0,0.0378472485050336,166590.0,318.0,0.1908878083918602,417765,91,0.0217825811161777,188430,53,0.0281271559730403
2020-02-01,462867,197,0.0425608220071856,51554.0,4.0,0.0077588547930325,62581.0,10.0,0.0159792908390725,164787.0,227.0,0.1377535849308501,419960,133,0.0316696828269359,177259,39,0.0220017037216728
2020-03-01,513497,265,0.0516069227278835,64487.0,1.0,0.0015507001411137,67646.0,0.0,0.0,189041.0,97.0,0.051311620230532,484345,172,0.0355118768646316,200028,81,0.0404943307936888
2020-04-01,453033,321,0.0708557654740383,58452.0,2.0,0.003421610894409,62655.0,2.0,0.0031920836325911,175604.0,80.0,0.0455570488143778,434160,111,0.0255666113875069,172838,113,0.0653791411610872
2020-05-01,449540,210,0.0467144191840548,54292.0,6.0,0.0110513519487217,61135.0,11.0,0.0179929663858673,177358.0,131.0,0.0738619064265496,447605,201,0.0449056645926654,175097,150,0.0856668018298428
2020-06-01,484084,272,0.056188595367746,52301.0,5.0,0.0095600466530276,66729.0,13.0,0.019481784531463,170509.0,56.0,0.0328428411403503,445880,198,0.0444065667892706,185413,152,0.0819791492505919
2020-07-01,433109,196,0.0452541969804367,49111.0,9.0,0.0183258333163649,55354.0,4.0,0.0072262167142392,151299.0,55.0,0.0363518595628523,398566,238,0.059714074958727,158530,120,0.0756954519649277
2020-08-01,418485,198,0.0473135237822144,47376.0,2.0,0.0042215467747382,64825.0,7.0,0.0107983031237948,150947.0,63.0,0.0417365035409779,347725,1050,0.3019627579265224,146495,122,0.0832792928086282
2020-09-01,483324,195,0.040345606673784,52981.0,3.0,0.0056624072780808,79679.0,0.0,0.0,191749.0,34.0,0.0177315135932912,451517,369,0.0817244976379626,193733,95,0.049036560627255
2020-10-01,492968,218,0.0442219373265607,56349.0,1.0,0.0017746543860583,82120.0,4.0,0.0048709206039941,206067.0,39.0,0.0189258833292084,497214,242,0.0486711959035747,198167,54,0.0272497439028698
2020-11-01,465449,160,0.0343754095507778,59540.0,10.0,0.0167954316425932,78189.0,10.0,0.0127895228229034,197291.0,61.0,0.0309187950793497,474281,118,0.0248797653711618,190586,40,0.0209879004753759
2020-12-01,452270,127,0.0280805713401286,56463.0,4.0,0.0070842852841683,75031.0,1.0,0.0013327824499206,194989.0,52.0,0.0266681710250321,448439,89,0.019846623509552,185606,43,0.0231673545036259
2021-01-01,457211,100,0.0218717397437944,55790.0,1.0,0.0017924359204158,66035.0,1.0,0.0015143484515787,195065.0,133.0,0.0681824007382154,441255,77,0.017450227192893,181968,32,0.0175855095401389
2021-02-01,439247,161,0.0366536367920554,53924.0,5.0,0.0092723091758771,52694.0,3.0,0.0056932478080995,186047.0,35.0,0.0188124506173171,437637,82,0.0187369897883405,174962,25,0.0142888170002629
2021-03-01,498736,236,0.047319624009496,54531.0,3.0,0.0055014578863398,60829.0,14.0,0.0230153380788768,206283.0,43.0,0.0208451496245449,487366,98,0.0201080912496973,205613,70,0.0340445399853122
2021-04-01,368773,129,0.0349808689898663,42878.0,6.0,0.0139931899808759,43635.0,5.0,0.0114586914174401,171126.0,51.0,0.0298026015918095,380928,88,0.0231014784946236,162346,69,0.0425018171066734
2021-05-01,442581,103,0.0232725760934156,50577.0,4.0,0.0079087332186567,55797.0,2.0,0.0035844221015466,203435.0,51.0,0.0250694324968663,470853,181,0.038440872204276,193450,98,0.0506590850348927
2021-06-01,487960,255,0.0522583818345766,51955.0,3.0,0.0057742276970455,60068.0,8.0,0.0133182393287607,198885.0,53.0,0.0266485657540789,471035,224,0.0475548526118016,215265,131,0.0608552249552876
2021-07-01,479445,202,0.0421320485144281,50555.0,6.0,0.0118682622885965,55786.0,10.0,0.0179256444269171,197871.0,58.0,0.0293120265223302,440285,198,0.0449708711402841,194779,111,0.0569876629410768
2021-08-01,401175,89,0.0221848320558359,46587.0,4.0,0.0085860862472363,53720.0,7.0,0.013030528667163,161530.0,62.0,0.0383829629171051,356425,278,0.0779967735147646,162084,127,0.0783544335036154
