"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-02","IT","Italy",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-02","LV","Latvia",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-02","MT","Malta",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-02","NL","Netherlands",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-02","NO","Norway",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-02","PT","Portugal",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-02","RO","Romania",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-02","SE","Sweden",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-02","SI","Slovenia",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-02","SK","Slovakia",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-02","UK","United Kingdom",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-03","AT","Austria",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-03","BE","Belgium",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-03","CZ","Czechia",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-03","DK","Denmark",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-03","EE","Estonia",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-03","EL","Greece",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-03","ES","Spain",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-03","EU27_21","EU (without UK)",2.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-03","EU27_UK_21","EU (with UK until 2019)",2.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-03","EUEEA30_21","EU/EEA (without UK)",2.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-03","EUEEAUK_21","EU/EEA (with UK until 2019)",2.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-03","FI","Finland",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-03","FR","France",1.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-03","HU","Hungary",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-03","IE","Ireland",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-03","IT","Italy",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-03","LV","Latvia",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-03","MT","Malta",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-03","NL","Netherlands",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-03","NO","Norway",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-03","PT","Portugal",1.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-03","RO","Romania",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-03","SE","Sweden",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-03","SI","Slovenia",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-03","SK","Slovakia",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-03","UK","United Kingdom",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-04","AT","Austria",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-04","BE","Belgium",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-04","CZ","Czechia",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-04","DK","Denmark",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-04","EE","Estonia",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-04","EL","Greece",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-04","ES","Spain",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-04","EU27_21","EU (without UK)",4.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-04","EU27_UK_21","EU (with UK until 2019)",4.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-04","EUEEA30_21","EU/EEA (without UK)",4.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-04","EUEEAUK_21","EU/EEA (with UK until 2019)",4.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-04","FI","Finland",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-04","FR","France",3.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-04","HU","Hungary",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-04","IE","Ireland",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-04","IT","Italy",1.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-04","LV","Latvia",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-04","MT","Malta",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-04","NL","Netherlands",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-04","NO","Norway",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-04","PT","Portugal",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-04","RO","Romania",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-04","SE","Sweden",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-04","SI","Slovenia",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-04","SK","Slovakia",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-04","UK","United Kingdom",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-05","AT","Austria",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-05","BE","Belgium",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-05","CZ","Czechia",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-05","DK","Denmark",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-05","EE","Estonia",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-05","EL","Greece",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-05","ES","Spain",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-05","EU27_21","EU (without UK)",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-05","EU27_UK_21","EU (with UK until 2019)",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-05","EUEEA30_21","EU/EEA (without UK)",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-05","EUEEAUK_21","EU/EEA (with UK until 2019)",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-05","FI","Finland",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-05","FR","France",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-05","HU","Hungary",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-05","IE","Ireland",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-05","IT","Italy",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-05","LV","Latvia",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-05","MT","Malta",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-05","NL","Netherlands",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-05","NO","Norway",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-05","PT","Portugal",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-05","RO","Romania",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-05","SE","Sweden",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-05","SI","Slovenia",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-05","SK","Slovakia",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-05","UK","United Kingdom",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-06","AT","Austria",0.000000000,""
