country,qid,year,month,views,total_views,views_norm
Spain,Q13855063,2024,10,3,1028230818,0.0029176328383497254
Spain,Q13855063,2024,11,3,915782834,0.0032758858198907886
Spain,Q13855063,2024,12,3,837633710,0.0035815177495662157
Spain,Q13855063,2025,1,1,964291125,0.0010370312181396464
Spain,Q13855063,2025,2,4,905973399,0.004415140670151177
Spain,Q13855063,2025,3,3,979276557,0.0030634859770262016
Spain,Q13855063,2025,4,4,924558025,0.004326391520964841
Spain,Q13855063,2025,5,2,936098674,0.002136526902077419
Spain,Q13855063,2025,6,4,887908388,0.004504969267167234
Spain,Q13855063,2025,7,4,798506756,0.005009350227714291
Spain,Q13855063,2025,8,5,824780435,0.006062219456018013
Spain,Q13855063,2025,9,6,880321186,0.006815694198230963
Spain,Q13855063,2025,10,7,877393757,0.007978173931775537
Spain,Q13855063,2025,11,3,865135622,0.003467664402795797
Spain,Q13855063,2025,12,4,824823060,0.004849524939324563
Germany,Q243257,2015,7,8301,1093033898,7.5944579716959515
Germany,Q243257,2015,8,13786,1087269211,12.67947244392263
Germany,Q243257,2015,9,7375,1108423885,6.6535917348984235
Germany,Q243257,2015,10,5940,1158854443,5.1257515867331405
Germany,Q243257,2015,11,6364,1206836745,5.273289884788849
Germany,Q243257,2015,12,6168,1187087036,5.195912189205308
Germany,Q243257,2016,1,10916,1348922409,8.092385393828831
Germany,Q243257,2016,2,9180,1204338063,7.622444463087604
Germany,Q243257,2016,3,5801,1219587401,4.756526670612924
Germany,Q243257,2016,4,5494,1177747252,4.664837884928472
Germany,Q243257,2016,5,5522,1148854347,4.806527489250123
Germany,Q243257,2016,6,7336,1152350599,6.366118094932322
Germany,Q243257,2016,7,8007,1112834024,7.195143055762645
Germany,Q243257,2016,8,7866,1094763358,7.185114429085596
Germany,Q243257,2016,9,7109,1083591539,6.560590170868803
Germany,Q243257,2016,10,5364,1184452296,4.528675420795503
Germany,Q243257,2016,11,5024,1189754310,4.222720571611125
Germany,Q243257,2016,12,3749,1159446053,3.233440650644916
Germany,Q243257,2017,1,4589,1353848487,3.389596431258559
Germany,Q243257,2017,2,4185,1182769881,3.5383045064198755
Germany,Q243257,2017,3,4989,1241127916,4.019730710819013
Germany,Q243257,2017,4,4794,1094640899,4.379518437854386
Germany,Q243257,2017,5,5011,1144323431,4.3790067250663505
Germany,Q243257,2017,6,5589,1035022419,5.399883033837937
Germany,Q243257,2017,7,5165,1022086139,5.053390123315232
Germany,Q243257,2017,8,5864,1016484293,5.7689037011022455
Germany,Q243257,2017,9,8134,1006251376,8.083467207104718
Germany,Q243257,2017,10,4632,1076485389,4.302891657733405
Germany,Q243257,2017,11,4234,1063160000,3.98246736145077
Germany,Q243257,2017,12,3239,1049394376,3.086542175255569
Germany,Q243257,2018,1,4587,1166226353,3.933198720986199
Germany,Q243257,2018,2,4035,1035955200,3.8949560753206316
Germany,Q243257,2018,3,3975,1121576949,3.5441170608437673
Germany,Q243257,2018,4,3873,1008146417,3.841703878217523
Germany,Q243257,2018,5,4190,1057526575,3.9620753738505337
Germany,Q243257,2018,6,4076,1015156095,4.015146064802971
Germany,Q243257,2018,7,5954,1042637652,5.710516964910068
Germany,Q243257,2018,8,4927,1040184702,4.736658778509896
Germany,Q243257,2018,9,4980,989160046,5.034574556603149
Germany,Q243257,2018,10,3561,1083325465,3.287100797542869
Germany,Q243257,2018,11,3647,1105631825,3.2985664102062184
Germany,Q243257,2018,12,3352,1112110903,3.0140878854417634
Germany,Q243257,2019,1,3659,1271637354,2.87739266897943
Germany,Q243257,2019,2,3055,1055144682,2.89533753248827
Germany,Q243257,2019,3,3867,1140397575,3.3909226788736375
Germany,Q243257,2019,4,4133,1063777384,3.8852113817828635
Germany,Q243257,2019,5,3594,1122558014,3.201616268537904
Germany,Q243257,2019,6,8009,1000588871,8.004286507799867
Germany,Q243257,2019,7,4738,1074397364,4.409914021345272
Germany,Q243257,2019,8,4437,1067655399,4.155835304308709
Germany,Q243257,2019,9,4161,1030450970,4.0380378311449405
Germany,Q243257,2019,10,4515,1098563288,4.109913419935803
Germany,Q243257,2019,11,3317,1093311328,3.0339025262527963
Germany,Q243257,2019,12,2959,1111933553,2.661130237518788
Germany,Q243257,2020,1,3644,1238790419,2.941579095309422
Germany,Q243257,2020,2,3778,1065319385,3.5463543170201492
Germany,Q243257,2020,3,5909,1130202962,5.228264478747668
Germany,Q243257,2020,4,3712,1208842876,3.070705112878541
Germany,Q243257,2020,5,2597,1248175741,2.0806364958826737
Germany,Q243257,2020,6,2725,1080045720,2.5230413393981137
Germany,Q243257,2020,7,2408,1180018227,2.040646445031565
Germany,Q243257,2020,8,2347,1128829442,2.0791449201056538
Germany,Q243257,2020,9,2028,1023570665,1.9812994542980578
Germany,Q243257,2020,10,1854,1084426625,1.709659240430398
Germany,Q243257,2020,11,1651,1139024832,1.4494855192059588
Germany,Q243257,2020,12,1905,1149194453,1.6576829056448639
Germany,Q243257,2021,1,1832,1303769890,1.4051559359144274
Germany,Q243257,2021,2,1528,1137786226,1.3429587782687746
Germany,Q243257,2021,3,1957,1216327743,1.6089413492889475
Germany,Q243257,2021,4,1667,1206347214,1.3818575453683604
Germany,Q243257,2021,5,2095,1204508809,1.7392981971956671
Germany,Q243257,2021,6,1995,1046929112,1.9055731444785728
Germany,Q243257,2021,7,1521,1029694717,1.4771368395784439
