subtype,n_components,min_cluster_size,n_neighbors,n_topics,noise_pct,largest_topic_pct,good,okay
West Nile,15,10,15,87,16.298222800173384,3.3810143042912872,False,False
West Nile,15,10,20,88,22.58344169917642,3.3810143042912872,False,False
West Nile,15,20,10,41,19.02904204594712,6.8053749458170785,False,False
West Nile,15,20,15,40,18.11876896402254,8.885999133073256,False,False
West Nile,15,20,20,38,22.3667100130039,4.59471174685739,False,False
West Nile,15,30,10,27,23.016905071521457,7.889033376679671,False,False
West Nile,15,30,15,25,20.58951018638925,8.885999133073256,False,False
West Nile,15,30,20,27,22.496749024707412,7.108799306458605,False,False
West Nile,15,50,10,17,30.34243606415258,7.889033376679671,False,False
West Nile,15,50,15,17,23.233636757693976,9.75292587776333,True,True
West Nile,15,50,20,2,1.4304291287386215,95.83875162548765,False,False
Zika,5,10,10,93,20.444444444444443,3.962962962962963,False,False
Zika,5,10,15,84,22.40740740740741,3.5555555555555554,False,False
Zika,5,10,20,92,24.962962962962962,2.7037037037037037,False,False
Zika,5,20,10,39,27.703703703703702,6.703703703703703,False,False
Zika,5,20,15,44,27.333333333333332,4.407407407407407,False,False
Zika,5,20,20,43,30.074074074074073,3.740740740740741,False,False
Zika,5,30,10,26,30.444444444444443,8.0,False,False
Zika,5,30,15,29,29.037037037037038,8.037037037037036,False,False
Zika,5,30,20,31,35.25925925925926,4.185185185185185,False,False
Zika,5,50,10,2,6.407407407407407,63.74074074074074,False,False
Zika,5,50,15,8,20.0,41.629629629629626,True,True
Zika,5,50,20,8,23.77777777777778,39.77777777777778,True,True
Zika,10,10,10,95,21.74074074074074,2.6666666666666665,False,False
Zika,10,10,15,93,24.14814814814815,2.4444444444444446,False,False
Zika,10,10,20,94,24.333333333333332,2.6666666666666665,False,False
Zika,10,20,10,43,25.48148148148148,8.703703703703704,False,False
Zika,10,20,15,44,27.0,4.666666666666667,False,False
Zika,10,20,20,37,27.666666666666668,5.481481481481482,False,False
Zika,10,30,10,27,32.96296296296296,8.703703703703704,False,False
Zika,10,30,15,29,29.333333333333332,8.481481481481481,False,False
Zika,10,30,20,24,23.11111111111111,15.37037037037037,False,False
Zika,10,50,10,2,7.62962962962963,62.25925925925926,False,False
Zika,10,50,15,16,28.037037037037038,12.481481481481481,False,False
Zika,10,50,20,15,29.88888888888889,12.74074074074074,False,False
Zika,15,10,10,103,21.666666666666668,2.1481481481481484,False,False
Zika,15,10,15,93,19.62962962962963,6.962962962962963,False,False
Zika,15,10,20,86,22.88888888888889,3.0,False,False
Zika,15,20,10,38,28.666666666666668,6.7407407407407405,False,False
Zika,15,20,15,40,22.74074074074074,6.962962962962963,False,False
Zika,15,20,20,2,1.4444444444444444,97.81481481481481,False,False
Zika,15,30,10,23,27.62962962962963,13.88888888888889,False,False
Zika,15,30,15,25,24.25925925925926,9.592592592592593,False,False
Zika,15,30,20,23,24.85185185185185,10.11111111111111,False,False
Zika,15,50,10,9,15.703703703703704,30.22222222222222,True,True
Zika,15,50,15,16,27.48148148148148,11.962962962962964,False,False
Zika,15,50,20,15,31.962962962962962,10.11111111111111,False,False
anchor,5,10,10,117,16.131126257708537,3.7974683544303796,False,False
anchor,5,10,15,115,18.6952288218111,3.2456994482310937,False,False
anchor,5,10,20,101,18.922427783187278,5.19311911716975,False,False
anchor,5,20,10,46,23.17429406037001,11.197663096397273,False,False
anchor,5,20,15,47,21.583901330736772,15.027588445309965,False,False
anchor,5,20,20,50,22.849724115546902,8.795845504706264,False,False
anchor,5,30,10,33,26.225251541707237,6.523855890944499,False,False
anchor,5,30,15,29,27.880558260305097,15.027588445309965,False,False
anchor,5,30,20,32,23.596234988640052,11.132749107432652,False,False
anchor,5,50,10,18,27.718273287893542,11.197663096397273,False,False
anchor,5,50,15,17,30.44466082440766,17.883803959753326,False,False
anchor,5,50,20,13,20.44790652385589,40.50632911392405,True,True
anchor,10,10,10,115,16.58552418046089,4.219409282700422,False,False
anchor,10,10,15,114,18.208373904576437,3.8299253489126905,False,False
anchor,10,10,20,105,18.403115871470302,4.836092177864329,False,False
anchor,10,20,10,47,20.285621551444336,11.554690035702693,False,False
anchor,10,20,15,49,22.297955209347613,6.0370009737098345,False,False
anchor,10,20,20,46,20.4803635183382,11.359948068808828,False,False
anchor,10,30,10,33,23.693605972086985,10.970464135021096,False,False
anchor,10,30,15,29,26.90684842583577,14.962674456345342,False,False
anchor,10,30,20,32,26.062966569295682,8.406361570918532,False,False
anchor,10,50,10,16,33.365790327815645,10.71080817916261,False,False
anchor,10,50,15,6,9.120415449529373,77.7345017851347,False,True
anchor,10,50,20,17,28.432327166504383,11.230120090879584,False,False
anchor,15,10,10,118,18.468029860434925,3.4728984096072706,False,False
anchor,15,10,15,111,19.99350860110354,3.4079844206426486,False,False
anchor,15,10,20,106,20.09087958455047,3.505355404089581,False,False
anchor,15,20,10,46,23.433950016228497,10.74326517364492,False,False
anchor,15,20,15,51,25.60856864654333,5.420318078545927,False,False
anchor,15,20,20,48,26.582278481012658,5.19311911716975,False,False
